equipment,est_peak_temp,num_companions,ticket,gender,distance_home,food_spend,age,runs
own,5,1,season,male,115,13,46,9
rent,5,4,season,male,24,15,39,5
rent,15,2,adult,male,14,28,32,11
own,0,2,child,female,43,19,5,6
own,20,1,adult,female,18,29,28,11
rent,5,3,adult,female,47,9,40,8
own,20,2,senior,female,20,16,72,12
own,15,0,child,male,115,16,6,11
own,25,0,adult,female,97,13,48,12
own,5,2,adult,male,102,13,37,6
rent,-15,0,adult,male,101,22,28,1
own,20,2,season,female,127,13,54,7
own,0,1,adult,male,49,13,24,7
rent,30,1,adult,male,39,9,48,14
own,-5,1,adult,male,30,9,33,6
own,15,2,season,male,55,11,56,8
rent,10,2,child,other,165,0,15,8
own,25,3,child,male,49,21,15,12
own,-10,2,adult,female,62,20,35,7
own,15,3,adult,male,83,0,40,13
own,5,0,season,male,27,16,76,8
rent,25,1,senior,female,129,8,83,11
own,10,0,adult,male,19,0,59,13
own,5,2,season,male,44,28,73,4
own,15,4,adult,male,20,18,46,7
own,5,1,adult,female,93,21,56,8
own,15,0,adult,female,113,5,46,11
own,10,0,adult,female,180,13,53,8
own,10,1,adult,male,55,20,44,9
own,10,5,adult,male,19,9,54,9
own,-0,1,child,female,49,10,8,9
own,0,3,adult,male,45,25,46,4
own,5,0,adult,male,61,7,44,8
own,15,0,child,female,49,24,8,12
own,25,2,child,male,26,21,9,11
own,-5,2,senior,male,169,13,61,3
rent,-5,4,season,female,118,0,65,1
own,20,1,season,female,57,25,65,7
own,5,1,adult,female,51,6,37,7
own,10,2,senior,male,188,19,78,4
own,15,2,adult,female,181,29,37,6
own,10,2,season,male,123,26,55,3
rent,15,0,child,female,183,19,18,7
rent,5,0,senior,female,33,0,69,8
own,5,1,adult,male,14,12,24,10
own,10,1,child,male,154,9,8,12
own,-10,2,season,female,31,10,46,1
rent,10,0,adult,female,14,0,21,11
own,5,1,senior,male,109,14,74,8
rent,5,2,season,female,102,0,41,5
own,25,4,adult,female,53,19,19,10
own,5,2,adult,female,13,15,26,11
own,10,1,adult,male,112,0,46,10
rent,25,2,senior,male,49,0,89,13
own,10,3,season,male,20,13,55,7
rent,20,0,child,female,14,12,11,14
own,10,1,senior,male,53,16,62,10
own,0,3,child,female,107,12,12,5
own,10,0,adult,female,35,18,53,11
own,5,2,adult,male,113,19,25,7
rent,30,2,senior,female,116,12,75,10
rent,25,1,season,male,181,13,48,10
own,30,3,adult,male,19,17,53,15
own,5,2,adult,female,36,0,45,7
own,15,1,adult,female,51,0,29,12
rent,10,0,senior,female,192,22,66,5
own,15,1,season,male,175,12,66,8
own,-0,1,adult,female,171,0,36,5
rent,10,3,child,male,59,12,16,9
own,15,1,season,male,49,0,34,10
own,10,2,child,male,148,21,13,5
own,15,1,season,female,100,12,60,9
own,5,2,senior,male,21,16,61,7
